customer_id,customer_segment,province,age_band,tenure_band,digital_engagement_score,synthetic_data_flag
C000001,Middle Market,KwaZulu-Natal,35-44,5+ Years,28.2,True
C000002,Middle Market,Gauteng,45-54,New,60.4,True
C000003,Middle Market,Gauteng,45-54,New,77.6,True
C000004,Mass,KwaZulu-Natal,25-34,New,44.4,True
C000005,Mass,KwaZulu-Natal,35-44,5+ Years,65.3,True
C000006,SME Owner,Free State,45-54,1-2 Years,37.5,True
C000007,Middle Market,Eastern Cape,18-24,1-2 Years,83.2,True
C000008,SME Owner,Gauteng,25-34,5+ Years,51.7,True
C000009,Mass,Gauteng,35-44,5+ Years,55.7,True
C000010,Middle Market,Western Cape,35-44,5+ Years,9.8,True
C000011,Mass,Western Cape,35-44,5+ Years,72.7,True
C000012,Mass,Eastern Cape,55-64,New,37.8,True
C000013,Mass,KwaZulu-Natal,45-54,1-2 Years,44.1,True
C000014,Mass,Limpopo,65+,1-2 Years,95.1,True
C000015,Affluent,Western Cape,65+,3-5 Years,33.2,True
C000016,Mass,Gauteng,18-24,5+ Years,21.1,True
C000017,Middle Market,Western Cape,25-34,5+ Years,26.4,True
C000018,Middle Market,Gauteng,55-64,3-5 Years,74.7,True
C000019,Mass,Gauteng,65+,3-5 Years,50.1,True
C000020,Middle Market,Western Cape,45-54,5+ Years,85.5,True
C000021,Mass,Western Cape,18-24,1-2 Years,70.9,True
C000022,SME Owner,Gauteng,25-34,3-5 Years,70.4,True
C000023,Affluent,Eastern Cape,65+,5+ Years,48.0,True
C000024,Middle Market,KwaZulu-Natal,25-34,1-2 Years,86.0,True
C000025,Middle Market,Gauteng,55-64,1-2 Years,17.7,True
C000026,Mass,Eastern Cape,35-44,5+ Years,65.6,True
C000027,Affluent,Gauteng,65+,5+ Years,47.8,True
C000028,Mass,KwaZulu-Natal,25-34,3-5 Years,13.3,True
C000029,Mass,KwaZulu-Natal,65+,1-2 Years,56.3,True
C000030,Mass,Western Cape,35-44,1-2 Years,51.3,True
C000031,Middle Market,Eastern Cape,45-54,New,15.2,True
C000032,Middle Market,Western Cape,25-34,1-2 Years,53.0,True
C000033,Middle Market,Gauteng,25-34,New,61.3,True
C000034,Middle Market,Western Cape,25-34,New,75.9,True
C000035,Mass,Western Cape,45-54,3-5 Years,37.7,True
C000036,Affluent,Gauteng,18-24,3-5 Years,32.8,True
C000037,Middle Market,Western Cape,45-54,New,15.2,True
C000038,Middle Market,Gauteng,25-34,New,27.0,True
C000039,Mass,Western Cape,45-54,1-2 Years,61.5,True
C000040,SME Owner,KwaZulu-Natal,25-34,1-2 Years,59.8,True
C000041,Mass,Free State,55-64,5+ Years,82.9,True
C000042,Mass,Limpopo,25-34,New,42.6,True
C000043,Middle Market,KwaZulu-Natal,55-64,New,81.2,True
