product_id,product_name,product_category,product_subcategory,base_monthly_premium,commission_rate,demand_weight,launch_date,annual_premium_reference,risk_band,active_flag
P001,Motor Comprehensive,Short-Term,Motor,980,0.12,1.15,2020-01-01,11760,Medium,True
P002,Motor Third Party,Short-Term,Motor,420,0.1,0.95,2020-01-01,5040,Low,True
P003,Home Buildings,Short-Term,Property,720,0.11,0.85,2020-01-01,8640,Medium,True
P004,Home Contents,Short-Term,Property,380,0.11,0.75,2020-01-01,4560,Low,True
P005,Funeral Plan,Life,Funeral,210,0.16,1.25,2019-01-01,2520,Low,True
P006,Life Cover,Life,Life,560,0.14,1.1,2019-01-01,6720,Medium,True
P007,Credit Life,Life,Credit,330,0.13,0.9,2021-04-01,3960,Low,True
P008,Travel Insurance,Short-Term,Travel,165,0.18,1.4,2022-01-01,1980,Medium,True
P009,Personal Accident,Short-Term,Accident,260,0.15,0.82,2023-03-01,3120,Medium,True
P010,SME Business Cover,Commercial,Business,1450,0.1,0.72,2025-02-01,17400,High,True
