assignment_sk,salesperson_id,team_id,region_id,effective_start_date,effective_end_date,is_current
ASG00001,SP0001,TM001,GP05,2024-01-01,2026-12-31,True
ASG00002,SP0002,TM002,GP01,2024-12-07,2026-12-31,True
ASG00003,SP0003,TM003,GP04,2024-07-11,2026-12-31,True
ASG00004,SP0004,TM004,WC03,2024-01-01,2026-12-31,True
ASG00005,SP0005,TM005,WC02,2024-01-01,2026-12-31,True
ASG00006,SP0006,TM006,KZN03,2024-01-01,2026-12-31,True
ASG00007,SP0007,TM007,KZN02,2024-06-25,2026-12-31,True
ASG00008,SP0008,TM008,EC01,2024-01-01,2026-12-31,True
ASG00009,SP0009,TM009,EC02,2024-10-01,2025-11-23,False
ASG00010,SP0009,TM008,EC02,2025-11-24,2026-12-31,True
ASG00011,SP0010,TM010,FS01,2024-01-01,2026-12-31,True
ASG00012,SP0011,TM011,LP01,2024-01-01,2025-07-12,False
ASG00013,SP0011,TM008,EC01,2025-07-13,2026-12-31,True
ASG00014,SP0012,TM012,MP02,2024-01-20,2025-01-08,False
ASG00015,SP0012,TM013,NW01,2025-01-09,2026-12-31,True
ASG00016,SP0013,TM013,NW01,2024-01-01,2025-01-03,False
ASG00017,SP0013,TM011,LP01,2025-01-04,2026-12-31,True
ASG00018,SP0014,TM014,NC01,2024-01-01,2025-10-23,False
ASG00019,SP0014,TM009,EC02,2025-10-24,2026-12-31,True
ASG00020,SP0015,TM002,GP04,2024-01-01,2026-12-31,True
ASG00021,SP0016,TM011,LP02,2025-03-31,2026-12-31,True
ASG00022,SP0017,TM007,KZN02,2024-01-01,2026-12-31,True
ASG00023,SP0018,TM011,LP01,2024-01-01,2025-04-11,False
ASG00024,SP0018,TM004,WC04,2025-04-12,2026-12-31,True
ASG00025,SP0019,TM012,MP02,2024-01-01,2026-12-31,True
ASG00026,SP0020,TM002,GP04,2024-01-01,2026-01-11,False
ASG00027,SP0020,TM003,GP05,2026-01-12,2026-12-31,True
ASG00028,SP0021,TM001,GP01,2024-01-01,2026-12-31,True
ASG00029,SP0022,TM012,MP01,2024-01-01,2026-12-31,True
ASG00030,SP0023,TM005,WC02,2024-01-01,2026-12-31,True
ASG00031,SP0024,TM001,GP03,2024-01-01,2026-12-31,True
ASG00032,SP0025,TM014,NC01,2024-01-01,2026-12-31,True
ASG00033,SP0026,TM005,WC04,2024-09-21,2026-12-31,True
ASG00034,SP0027,TM008,EC02,2024-01-01,2026-12-31,True
ASG00035,SP0028,TM010,FS02,2024-01-01,2026-12-31,True
ASG00036,SP0029,TM009,EC01,2025-01-05,2026-12-31,True
ASG00037,SP0030,TM008,EC01,2024-01-01,2026-12-31,True
ASG00038,SP0031,TM009,EC03,2024-01-01,2025-12-25,False
ASG00039,SP0031,TM008,EC02,2025-12-26,2026-12-31,True
ASG00040,SP0032,TM014,NC01,2024-01-01,2026-12-31,True
ASG00041,SP0033,TM014,NC01,2024-01-01,2025-06-22,False
ASG00042,SP0033,TM012,MP01,2025-06-23,2026-12-31,True
ASG00043,SP0034,TM013,NW02,2024-01-01,2026-12-31,True
ASG00044,SP0035,TM013,NW01,2024-01-01,2025-10-21,False
ASG00045,SP0035,TM003,GP04,2025-10-22,2026-12-31,True
ASG00046,SP0036,TM014,NC01,2024-01-01,2026-12-31,True
ASG00047,SP0037,TM003,GP01,2024-01-01,2026-12-31,True
ASG00048,SP0038,TM014,NC01,2024-05-28,2026-12-31,True
ASG00049,SP0039,TM014,NC01,2024-01-01,2026-12-31,True
ASG00050,SP0040,TM014,NC01,2024-01-01,2026-12-31,True
ASG00051,SP0041,TM006,KZN01,2024-01-01,2025-10-31,False
ASG00052,SP0041,TM007,KZN04,2025-11-01,2026-12-31,True
ASG00053,SP0042,TM011,LP01,2024-01-01,2026-12-31,True
ASG00054,SP0043,TM002,GP03,2024-01-01,2025-03-01,False
ASG00055,SP0043,TM003,GP03,2025-03-02,2026-12-31,True
ASG00056,SP0044,TM005,WC03,2024-01-01,2026-12-31,True
ASG00057,SP0045,TM011,LP01,2024-01-01,2026-01-23,False
ASG00058,SP0045,TM001,GP03,2026-01-24,2026-12-31,True
ASG00059,SP0046,TM009,EC03,2024-03-27,2026-12-31,True
ASG00060,SP0047,TM010,FS01,2024-01-01,2026-02-21,False
ASG00061,SP0047,TM008,EC03,2026-02-22,2026-12-31,True
ASG00062,SP0048,TM004,WC03,2024-05-09,2026-12-31,True
