policy_id,status_date_key,status_date,policy_status,status_reason
POL00056444,20260108,2026-01-08,Lapsed,Non-payment
POL00057200,20260105,2026-01-05,Lapsed,Non-payment
POL00058208,20260112,2026-01-12,Lapsed,Non-payment
POL00058239,20260104,2026-01-04,Lapsed,Non-payment
POL00058462,20260101,2026-01-01,Lapsed,Non-payment
POL00058925,20260114,2026-01-14,Lapsed,Non-payment
POL00059008,20260208,2026-02-08,Lapsed,Non-payment
POL00059027,20260112,2026-01-12,Lapsed,Non-payment
POL00059522,20260108,2026-01-08,Lapsed,Non-payment
POL00059551,20260129,2026-01-29,Lapsed,Non-payment
POL00059987,20260112,2026-01-12,Lapsed,Non-payment
POL00060014,20260114,2026-01-14,Lapsed,Non-payment
POL00060450,20260206,2026-02-06,Lapsed,Non-payment
POL00060556,20260119,2026-01-19,Lapsed,Non-payment
POL00060727,20260124,2026-01-24,Lapsed,Non-payment
POL00060786,20260131,2026-01-31,Lapsed,Non-payment
POL00060964,20260115,2026-01-15,Lapsed,Non-payment
POL00061091,20260206,2026-02-06,Lapsed,Non-payment
POL00061461,20260129,2026-01-29,Lapsed,Non-payment
POL00061485,20260103,2026-01-03,Lapsed,Non-payment
POL00061675,20260103,2026-01-03,Lapsed,Non-payment
POL00062081,20260110,2026-01-10,Lapsed,Non-payment
POL00062238,20260125,2026-01-25,Lapsed,Non-payment
POL00062282,20260218,2026-02-18,Lapsed,Non-payment
POL00062460,20260122,2026-01-22,Lapsed,Non-payment
POL00062678,20260129,2026-01-29,Lapsed,Non-payment
POL00062784,20260121,2026-01-21,Lapsed,Non-payment
POL00062819,20260123,2026-01-23,Lapsed,Non-payment
POL00063141,20260110,2026-01-10,Lapsed,Non-payment
POL00063158,20260113,2026-01-13,Lapsed,Non-payment
POL00063194,20260111,2026-01-11,Lapsed,Non-payment
POL00063251,20260226,2026-02-26,Lapsed,Non-payment
POL00063329,20260226,2026-02-26,Lapsed,Non-payment
POL00063340,20260105,2026-01-05,Cancelled,Underwriting
POL00063386,20260117,2026-01-17,Cancelled,Duplicate Cover
POL00063446,20260105,2026-01-05,Cancelled,Duplicate Cover
POL00063461,20260108,2026-01-08,Cancelled,Duplicate Cover
POL00063489,20260109,2026-01-09,Cancelled,Customer Request
POL00063505,20260123,2026-01-23,Lapsed,Non-payment
POL00063507,20260102,2026-01-02,Lapsed,Non-payment
POL00063732,20260216,2026-02-16,Lapsed,Non-payment
POL00063742,20260110,2026-01-10,Cancelled,Customer Request
POL00063744,20260106,2026-01-06,Lapsed,Non-payment
POL00063811,20260211,2026-02-11,Lapsed,Non-payment
POL00063829,20260109,2026-01-09,Lapsed,Non-payment
POL00063908,20260128,2026-01-28,Cancelled,Customer Request
POL00064070,20260116,2026-01-16,Cancelled,Duplicate Cover
POL00064148,20260104,2026-01-04,Cancelled,Underwriting
POL00064181,20260103,2026-01-03,Cancelled,Affordability
POL00064195,20260106,2026-01-06,Lapsed,Non-payment
POL00064205,20260112,2026-01-12,Lapsed,Non-payment
POL00064260,20260127,2026-01-27,Cancelled,Affordability
POL00064274,20260117,2026-01-17,Lapsed,Non-payment
POL00064283,20260131,2026-01-31,Cancelled,Duplicate Cover
POL00064315,20260226,2026-02-26,Lapsed,Non-payment
POL00064317,20260201,2026-02-01,Lapsed,Non-payment
POL00064325,20260101,2026-01-01,Cancelled,Underwriting
POL00064357,20260123,2026-01-23,Lapsed,Non-payment
POL00064372,20260106,2026-01-06,Cancelled,Affordability
POL00064432,20260106,2026-01-06,Cancelled,Customer Request
POL00064554,20260103,2026-01-03,Lapsed,Non-payment
POL00064565,20260117,2026-01-17,Lapsed,Non-payment
POL00064599,20260112,2026-01-12,Cancelled,Underwriting
POL00064627,20260111,2026-01-11,Cancelled,Underwriting
POL00064740,20260107,2026-01-07,Lapsed,Non-payment
POL00064764,20260306,2026-03-06,Lapsed,Non-payment
POL00064836,20260101,2026-01-01,Cancelled,Underwriting
POL00064893,20260101,2026-01-01,Cancelled,Customer Request
POL00064906,20260301,2026-03-01,Lapsed,Non-payment
POL00064960,20260209,2026-02-09,Lapsed,Non-payment
POL00064975,20260110,2026-01-10,Cancelled,Affordability
POL00065015,20260225,2026-02-25,Lapsed,Non-payment
POL00065026,20260118,2026-01-18,Lapsed,Non-payment
POL00065126,20260113,2026-01-13,Lapsed,Non-payment
POL00065142,20260211,2026-02-11,Lapsed,Non-payment
POL00065154,20260102,2026-01-02,Cancelled,Underwriting
POL00065175,20260301,2026-03-01,Lapsed,Non-payment
POL00065212,20260104,2026-01-04,Cancelled,Underwriting
POL00065280,20260207,2026-02-07,Lapsed,Non-payment
POL00065316,20260227,2026-02-27,Lapsed,Non-payment
POL00065338,20260130,2026-01-30,Lapsed,Non-payment
POL00065344,20260120,2026-01-20,Lapsed,Non-payment
POL00065355,20260117,2026-01-17,Lapsed,Non-payment
POL00065369,20260111,2026-01-11,Lapsed,Non-payment
POL00065432,20260108,2026-01-08,Cancelled,Customer Request
POL00065515,20260311,2026-03-11,Lapsed,Non-payment
POL00065575,20260102,2026-01-02,Cancelled,Affordability
POL00065581,20260107,2026-01-07,Cancelled,Customer Request
POL00065595,20260321,2026-03-21,Lapsed,Non-payment
POL00065612,20260323,2026-03-23,Lapsed,Non-payment
POL00065839,20260117,2026-01-17,Cancelled,Affordability
POL00065875,20260204,2026-02-04,Lapsed,Non-payment
POL00065900,20260213,2026-02-13,Lapsed,Non-payment
POL00066021,20260311,2026-03-11,Lapsed,Non-payment
POL00066026,20260109,2026-01-09,Lapsed,Non-payment
POL00066039,20260112,2026-01-12,Cancelled,Underwriting
POL00066040,20260109,2026-01-09,Cancelled,Duplicate Cover
POL00066123,20260107,2026-01-07,Lapsed,Non-payment
POL00066217,20260112,2026-01-12,Cancelled,Customer Request
POL00066235,20260101,2026-01-01,Lapsed,Non-payment
POL00066268,20260312,2026-03-12,Lapsed,Non-payment
POL00066271,20260109,2026-01-09,Cancelled,Affordability
POL00066330,20260216,2026-02-16,Lapsed,Non-payment
POL00066347,20260102,2026-01-02,Lapsed,Non-payment
POL00066356,20260130,2026-01-30,Lapsed,Non-payment
POL00066385,20260107,2026-01-07,Cancelled,Duplicate Cover
POL00066392,20260302,2026-03-02,Lapsed,Non-payment
POL00066401,20260209,2026-02-09,Lapsed,Non-payment
POL00066419,20260125,2026-01-25,Lapsed,Non-payment
POL00066437,20260104,2026-01-04,Cancelled,Duplicate Cover
POL00066476,20260114,2026-01-14,Lapsed,Non-payment
POL00066548,20260125,2026-01-25,Cancelled,Duplicate Cover
POL00066582,20260105,2026-01-05,Cancelled,Customer Request
POL00066591,20260228,2026-02-28,Lapsed,Non-payment
POL00066592,20260109,2026-01-09,Lapsed,Non-payment
POL00066811,20260101,2026-01-01,Cancelled,Duplicate Cover
POL00066817,20260217,2026-02-17,Lapsed,Non-payment
POL00066873,20260102,2026-01-02,Lapsed,Non-payment
POL00066878,20260110,2026-01-10,Cancelled,Customer Request
POL00066976,20260127,2026-01-27,Lapsed,Non-payment
POL00067007,20260121,2026-01-21,Lapsed,Non-payment
POL00067097,20260305,2026-03-05,Lapsed,Non-payment
POL00067109,20260111,2026-01-11,Cancelled,Duplicate Cover
POL00067124,20260129,2026-01-29,Lapsed,Non-payment
POL00067160,20260118,2026-01-18,Cancelled,Affordability
POL00067198,20260116,2026-01-16,Lapsed,Non-payment
POL00067252,20260103,2026-01-03,Cancelled,Duplicate Cover
POL00067269,20260210,2026-02-10,Lapsed,Non-payment
POL00067282,20260311,2026-03-11,Lapsed,Non-payment
POL00067304,20260308,2026-03-08,Lapsed,Non-payment
POL00067320,20260114,2026-01-14,Cancelled,Underwriting
POL00067598,20260123,2026-01-23,Cancelled,Underwriting
POL00067610,20260222,2026-02-22,Lapsed,Non-payment
POL00067652,20260221,2026-02-21,Cancelled,Customer Request
POL00067664,20260406,2026-04-06,Lapsed,Non-payment
POL00067722,20260111,2026-01-11,Cancelled,Customer Request
POL00067736,20260328,2026-03-28,Lapsed,Non-payment
POL00067790,20260103,2026-01-03,Cancelled,Affordability
POL00067795,20260103,2026-01-03,Cancelled,Duplicate Cover
POL00067838,20260206,2026-02-06,Cancelled,Underwriting
POL00067848,20260225,2026-02-25,Cancelled,Affordability
POL00067852,20260325,2026-03-25,Lapsed,Non-payment
POL00067900,20260214,2026-02-14,Cancelled,Customer Request
POL00067952,20260209,2026-02-09,Lapsed,Non-payment
POL00067959,20260402,2026-04-02,Lapsed,Non-payment
POL00067992,20260211,2026-02-11,Cancelled,Customer Request
POL00068013,20260110,2026-01-10,Cancelled,Underwriting
POL00068062,20260408,2026-04-08,Lapsed,Non-payment
POL00068123,20260208,2026-02-08,Lapsed,Non-payment
POL00068187,20260311,2026-03-11,Lapsed,Non-payment
POL00068190,20260320,2026-03-20,Lapsed,Non-payment
POL00068192,20260130,2026-01-30,Cancelled,Duplicate Cover
POL00068228,20260329,2026-03-29,Lapsed,Non-payment
POL00068241,20260213,2026-02-13,Lapsed,Non-payment
POL00068259,20260315,2026-03-15,Lapsed,Non-payment
POL00068270,20260303,2026-03-03,Lapsed,Non-payment
POL00068300,20260211,2026-02-11,Lapsed,Non-payment
POL00068368,20260113,2026-01-13,Lapsed,Non-payment
POL00068392,20260224,2026-02-24,Lapsed,Non-payment
POL00068404,20260109,2026-01-09,Cancelled,Underwriting
POL00068508,20260318,2026-03-18,Lapsed,Non-payment
POL00068548,20260115,2026-01-15,Cancelled,Customer Request
POL00068561,20260114,2026-01-14,Lapsed,Non-payment
POL00068599,20260113,2026-01-13,Cancelled,Duplicate Cover
POL00068624,20260204,2026-02-04,Cancelled,Customer Request
POL00068649,20260219,2026-02-19,Lapsed,Non-payment
POL00068670,20260313,2026-03-13,Lapsed,Non-payment
POL00068684,20260101,2026-01-01,Cancelled,Customer Request
POL00068705,20260116,2026-01-16,Cancelled,Underwriting
POL00068728,20260312,2026-03-12,Lapsed,Non-payment
POL00068752,20260216,2026-02-16,Lapsed,Non-payment
POL00068756,20260117,2026-01-17,Lapsed,Non-payment
POL00068759,20260214,2026-02-14,Cancelled,Affordability
POL00068762,20260220,2026-02-20,Cancelled,Affordability
POL00068799,20260210,2026-02-10,Cancelled,Duplicate Cover
POL00068821,20260203,2026-02-03,Cancelled,Underwriting
POL00068982,20260131,2026-01-31,Cancelled,Affordability
POL00069014,20260218,2026-02-18,Cancelled,Affordability
POL00069041,20260123,2026-01-23,Cancelled,Duplicate Cover
POL00069101,20260123,2026-01-23,Cancelled,Duplicate Cover
POL00069136,20260102,2026-01-02,Cancelled,Underwriting
POL00069149,20260203,2026-02-03,Cancelled,Affordability
POL00069174,20260114,2026-01-14,Cancelled,Affordability
POL00069203,20260210,2026-02-10,Cancelled,Customer Request
POL00069224,20260320,2026-03-20,Lapsed,Non-payment
POL00069261,20260223,2026-02-23,Lapsed,Non-payment
POL00069277,20260416,2026-04-16,Lapsed,Non-payment
POL00069287,20260317,2026-03-17,Lapsed,Non-payment
POL00069327,20260125,2026-01-25,Lapsed,Non-payment
POL00069347,20260114,2026-01-14,Cancelled,Affordability
POL00069382,20260207,2026-02-07,Lapsed,Non-payment
POL00069385,20260130,2026-01-30,Cancelled,Affordability
POL00069393,20260109,2026-01-09,Cancelled,Duplicate Cover
POL00069422,20260121,2026-01-21,Lapsed,Non-payment
POL00069444,20260211,2026-02-11,Lapsed,Non-payment
POL00069454,20260108,2026-01-08,Cancelled,Affordability
POL00069512,20260313,2026-03-13,Lapsed,Non-payment
