policy_id,sale_date_key,sale_date,customer_id,salesperson_id,region_id,raw_region_id,branch_id,product_id,channel_id,monthly_premium,annualized_revenue,discount_rate,commission_amount,sale_type,source_system,ingested_at
POL00000001,20240119,2024-01-19,C019361,SP0037,GP01,GP01,BR001,P001,CH02,1165.33,13983.96,0.0,1678.08,New Business,CRM,2024-01-19 09:24:00
POL00000002,20240116,2024-01-16,C023892,SP0021,GP01,GP01,BR001,P001,CH04,905.57,10866.84,0.0,1304.02,New Business,CRM,2024-01-16 15:17:00
POL00000003,20240107,2024-01-07,C016036,SP0037,GP01,GP01,BR001,P001,CH01,879.79,10557.48,0.0,1266.9,New Business,CRM,2024-01-07 15:19:00
POL00000004,20240117,2024-01-17,C025911,SP0002,GP01,GP01,BR001,P001,CH04,665.8,7989.6,0.0,958.75,New Business,CRM,2024-01-17 12:50:00
POL00000005,20240126,2024-01-26,C024305,SP0037,GP01,GP01,BR001,P001,CH02,722.65,8671.8,0.1,1040.62,New Business,CRM,2024-01-26 11:35:00
POL00000006,20240103,2024-01-03,C000220,SP0118,GP01,GP01,BR001,P001,CH04,821.59,9859.08,0.1,1183.09,New Business,CRM,2024-01-03 12:15:00
POL00000007,20240116,2024-01-16,C003639,SP0092,GP01,GP01,BR001,P001,CH02,961.4,11536.8,0.0,1384.42,New Business,PolicyAdmin,2024-01-16 11:24:00
POL00000008,20240113,2024-01-13,C012403,SP0092,GP01,GP01,BR001,P001,CH04,733.46,8801.52,0.0,1056.18,New Business,DigitalPortal,2024-01-13 09:59:00
POL00000009,20240119,2024-01-19,C000778,SP0118,GP01,GP01,BR001,P001,CH01,1138.42,13661.04,0.0,1639.32,New Business,DigitalPortal,2024-01-19 13:21:00
POL00000010,20240120,2024-01-20,C003294,SP0002,GP01,GP01,BR001,P001,CH01,1002.2,12026.4,0.0,1443.17,New Business,PolicyAdmin,2024-01-20 08:57:00
POL00000011,20240105,2024-01-05,C015746,SP0002,GP01,GP01,BR001,P001,CH01,1138.64,13663.68,0.0,1639.64,New Business,CRM,2024-01-05 08:30:00
POL00000012,20240111,2024-01-11,C001751,SP0037,GP01,GP01,BR001,P001,CH01,742.64,8911.68,0.1,1069.4,New Business,CRM,2024-01-11 15:49:00
POL00000013,20240127,2024-01-27,C001768,SP0037,GP01,GP01,BR001,P001,CH04,1092.02,13104.24,0.05,1572.51,New Business,CRM,2024-01-27 11:43:00
POL00000014,20240125,2024-01-25,C013655,SP0118,GP01,GP01,BR001,P001,CH03,1245.31,14943.72,0.0,1793.25,New Business,PolicyAdmin,2024-01-25 12:44:00
POL00000015,20240111,2024-01-11,C027858,SP0037,GP01,GP01,BR001,P001,CH01,1042.16,12505.92,0.0,1500.71,New Business,PolicyAdmin,2024-01-11 11:29:00
POL00000016,20240105,2024-01-05,C026604,SP0118,GP01,GP01,BR001,P001,CH04,801.22,9614.64,0.0,1153.76,New Business,CRM,2024-01-05 08:21:00
POL00000017,20240122,2024-01-22,C005700,SP0092,GP01,GP01,BR001,P001,CH03,811.61,9739.32,0.1,1168.72,New Business,PolicyAdmin,2024-01-22 09:00:00
POL00000018,20240112,2024-01-12,C010451,SP0037,GP01,GP01,BR001,P001,CH01,921.65,11059.8,0.0,1327.18,New Business,CRM,2024-01-12 09:03:00
POL00000019,20240124,2024-01-24,C010743,SP0092,GP01,GP01,BR001,P001,CH01,886.02,10632.24,0.05,1275.87,New Business,PolicyAdmin,2024-01-24 15:23:00
POL00000020,20240120,2024-01-20,C005550,SP0118,GP01,GP01,BR001,P001,CH04,1193.59,14323.08,0.0,1718.77,New Business,CRM,2024-01-20 10:24:00
POL00000021,20240124,2024-01-24,C000580,SP0092,GP01,GP01,BR001,P001,CH02,858.29,10299.48,0.1,1235.94,New Business,CRM,2024-01-24 17:40:00
POL00000022,20240110,2024-01-10,C014128,SP0037,GP01,GP01,BR001,P001,CH02,782.51,9390.12,0.05,1126.81,New Business,PolicyAdmin,2024-01-10 08:55:00
POL00000023,20240103,2024-01-03,C018547,SP0092,GP01,GP01,BR001,P001,CH01,1037.07,12444.84,0.1,1493.38,New Business,CRM,2024-01-03 10:15:00
POL00000024,20240107,2024-01-07,C013253,SP0118,GP01,GP01,BR001,P001,CH01,996.28,11955.36,0.0,1434.64,New Business,DigitalPortal,2024-01-07 12:03:00
POL00000025,20240108,2024-01-08,C005534,SP0092,GP01,GP01,BR001,P001,CH01,1254.48,15053.76,0.05,1806.45,New Business,CRM,2024-01-08 14:20:00
POL00000026,20240118,2024-01-18,C005667,SP0002,GP01,GP01,BR001,P001,CH05,1102.73,13232.76,0.0,1587.93,New Business,CRM,2024-01-18 17:34:00
