activity_date_key,activity_date,salesperson_id,team_id,region_id,leads_received,contacts_made,quotes_issued,applications_submitted,policies_closed
20250101,2025-01-01,SP0001,TM001,GP05,2,1,1,0,0
20250101,2025-01-01,SP0002,TM002,GP01,8,6,3,2,2
20250101,2025-01-01,SP0003,TM003,GP04,9,6,4,4,1
20250101,2025-01-01,SP0004,TM004,WC03,9,7,2,2,0
20250101,2025-01-01,SP0005,TM005,WC02,16,12,9,9,7
20250101,2025-01-01,SP0006,TM006,KZN03,12,10,4,3,2
20250101,2025-01-01,SP0007,TM007,KZN02,4,3,2,2,2
20250101,2025-01-01,SP0008,TM008,EC01,12,8,5,3,3
20250101,2025-01-01,SP0009,TM009,EC02,2,1,1,1,1
20250101,2025-01-01,SP0012,TM012,MP02,3,2,0,0,0
20250101,2025-01-01,SP0013,TM013,NW01,10,10,8,6,4
20250101,2025-01-01,SP0014,TM014,NC01,5,4,2,1,1
20250101,2025-01-01,SP0015,TM002,GP04,8,5,3,3,3
20250101,2025-01-01,SP0016,TM011,LP02,9,8,4,2,1
20250101,2025-01-01,SP0017,TM007,KZN02,10,10,4,2,0
20250101,2025-01-01,SP0018,TM011,LP01,11,6,3,3,1
20250101,2025-01-01,SP0019,TM012,MP02,7,4,2,2,2
20250101,2025-01-01,SP0020,TM002,GP04,1,0,0,0,0
20250101,2025-01-01,SP0021,TM001,GP01,7,5,3,3,1
20250101,2025-01-01,SP0022,TM012,MP01,13,12,6,5,4
20250101,2025-01-01,SP0024,TM001,GP03,5,5,2,2,2
20250101,2025-01-01,SP0025,TM014,NC01,8,5,2,2,1
20250101,2025-01-01,SP0026,TM005,WC04,5,4,0,0,0
20250101,2025-01-01,SP0027,TM008,EC02,5,5,1,0,0
20250101,2025-01-01,SP0028,TM010,FS02,10,8,5,5,3
20250101,2025-01-01,SP0029,TM009,EC01,3,1,0,0,0
20250101,2025-01-01,SP0030,TM008,EC01,6,4,3,2,1
20250101,2025-01-01,SP0032,TM014,NC01,7,6,2,1,1
20250101,2025-01-01,SP0035,TM013,NW01,10,9,8,4,4
20250101,2025-01-01,SP0036,TM014,NC01,12,5,3,2,1
20250101,2025-01-01,SP0037,TM003,GP01,8,7,6,5,5
20250101,2025-01-01,SP0038,TM014,NC01,13,7,5,3,2
20250101,2025-01-01,SP0039,TM014,NC01,10,9,2,2,2
20250101,2025-01-01,SP0040,TM014,NC01,8,6,4,0,0
20250101,2025-01-01,SP0041,TM006,KZN01,6,5,4,2,2
20250101,2025-01-01,SP0042,TM011,LP01,12,8,4,3,2
20250101,2025-01-01,SP0044,TM005,WC03,7,3,3,3,3
20250101,2025-01-01,SP0045,TM011,LP01,8,6,6,5,2
20250101,2025-01-01,SP0046,TM009,EC03,8,7,2,2,1
20250101,2025-01-01,SP0048,TM004,WC03,7,6,5,2,2
20250101,2025-01-01,SP0049,TM002,GP05,9,9,4,2,2
20250101,2025-01-01,SP0052,TM003,GP05,7,6,4,4,3
20250101,2025-01-01,SP0053,TM013,NW01,5,5,3,2,1
20250101,2025-01-01,SP0054,TM010,FS01,9,7,1,0,0
20250101,2025-01-01,SP0055,TM009,EC02,8,6,5,2,1
20250101,2025-01-01,SP0057,TM004,WC01,7,5,4,4,4
20250101,2025-01-01,SP0058,TM013,NW01,10,8,4,2,1
20250101,2025-01-01,SP0059,TM001,GP05,8,5,4,3,0
20250101,2025-01-01,SP0060,TM005,WC03,13,11,5,3,3
20250101,2025-01-01,SP0061,TM011,LP02,11,9,5,3,3
20250101,2025-01-01,SP0063,TM002,GP02,9,6,3,1,0
20250101,2025-01-01,SP0064,TM011,LP01,12,11,6,2,1
20250101,2025-01-01,SP0066,TM014,NC01,8,7,7,5,4
20250101,2025-01-01,SP0067,TM011,LP01,8,7,3,2,2
20250101,2025-01-01,SP0068,TM003,GP04,4,3,0,0,0
20250101,2025-01-01,SP0070,TM002,GP04,10,7,3,2,2
20250101,2025-01-01,SP0071,TM014,NC01,10,6,6,3,3
20250101,2025-01-01,SP0073,TM009,EC03,7,6,3,3,3
20250101,2025-01-01,SP0074,TM004,WC04,8,6,3,3,2
20250101,2025-01-01,SP0075,TM002,GP04,5,5,3,1,0
20250101,2025-01-01,SP0077,TM004,WC01,9,6,4,1,1
20250101,2025-01-01,SP0078,TM008,EC01,12,11,2,1,0
20250101,2025-01-01,SP0079,TM008,EC02,9,5,2,1,1
20250101,2025-01-01,SP0080,TM001,GP02,7,6,2,2,1
20250101,2025-01-01,SP0081,TM012,MP02,9,5,3,2,2
20250101,2025-01-01,SP0082,TM002,GP05,5,3,0,0,0
20250101,2025-01-01,SP0083,TM007,KZN04,7,4,2,2,1
20250101,2025-01-01,SP0084,TM006,KZN04,12,10,5,5,4
20250101,2025-01-01,SP0085,TM012,MP02,10,9,5,3,2
20250101,2025-01-01,SP0086,TM010,FS01,1,1,1,1,1
20250101,2025-01-01,SP0087,TM003,GP04,9,6,2,2,2
20250101,2025-01-01,SP0088,TM001,GP05,2,2,1,0,0
20250101,2025-01-01,SP0089,TM012,MP02,5,3,2,1,1
20250101,2025-01-01,SP0090,TM002,GP03,12,8,6,5,3
20250101,2025-01-01,SP0091,TM001,GP04,6,5,3,2,2
20250101,2025-01-01,SP0092,TM002,GP01,3,1,0,0,0
20250101,2025-01-01,SP0093,TM003,GP04,11,9,6,4,3
20250101,2025-01-01,SP0094,TM001,GP03,5,3,0,0,0
20250101,2025-01-01,SP0095,TM010,FS02,4,3,0,0,0
20250101,2025-01-01,SP0097,TM003,GP04,5,4,4,3,1
20250101,2025-01-01,SP0099,TM006,KZN02,7,7,2,2,1
20250101,2025-01-01,SP0101,TM006,KZN02,12,12,8,5,3
20250101,2025-01-01,SP0102,TM005,WC01,12,9,5,3,2
20250101,2025-01-01,SP0103,TM009,EC02,6,4,1,0,0
20250101,2025-01-01,SP0104,TM004,WC03,7,7,4,2,2
20250101,2025-01-01,SP0105,TM009,EC03,4,3,2,2,2
20250101,2025-01-01,SP0106,TM012,MP01,4,3,1,1,0
20250101,2025-01-01,SP0107,TM005,WC01,5,3,1,0,0
20250101,2025-01-01,SP0109,TM003,GP05,3,3,1,1,0
20250101,2025-01-01,SP0111,TM002,GP04,15,13,7,5,3
20250101,2025-01-01,SP0112,TM011,LP02,10,5,3,1,1
20250101,2025-01-01,SP0113,TM009,EC01,12,9,5,5,5
20250101,2025-01-01,SP0116,TM012,MP02,5,3,2,1,1
20250101,2025-01-01,SP0117,TM003,GP02,10,9,5,3,2
20250101,2025-01-01,SP0119,TM002,GP04,12,10,7,5,4
20250101,2025-01-01,SP0120,TM012,MP02,5,4,3,1,0
20250101,2025-01-01,SP0121,TM008,EC03,9,6,2,2,2
20250101,2025-01-01,SP0122,TM006,KZN01,7,6,3,3,2
20250101,2025-01-01,SP0123,TM012,MP01,9,9,7,5,3
20250101,2025-01-01,SP0124,TM014,NC01,7,4,3,2,2
20250101,2025-01-01,SP0125,TM005,WC03,3,1,1,1,1
20250101,2025-01-01,SP0126,TM007,KZN02,10,7,5,4,2
20250101,2025-01-01,SP0127,TM008,EC03,12,10,6,4,3
20250101,2025-01-01,SP0128,TM007,KZN04,10,7,5,3,3
20250101,2025-01-01,SP0131,TM012,MP01,8,7,5,4,4
20250101,2025-01-01,SP0133,TM005,WC03,5,4,1,1,1
20250101,2025-01-01,SP0134,TM002,GP05,15,9,6,2,2
20250101,2025-01-01,SP0137,TM006,KZN01,11,7,2,1,1
20250101,2025-01-01,SP0139,TM010,FS01,10,7,5,2,2
20250101,2025-01-01,SP0140,TM012,MP02,8,6,4,3,1
20250101,2025-01-01,SP0142,TM002,GP05,12,12,8,7,4
20250101,2025-01-01,SP0144,TM014,NC01,5,4,1,1,0
20250101,2025-01-01,SP0146,TM008,EC03,7,6,4,2,2
20250101,2025-01-01,SP0148,TM005,WC04,3,3,3,2,2
20250101,2025-01-01,SP0150,TM012,MP01,8,4,2,2,1
20250101,2025-01-01,SP0151,TM013,NW02,9,7,4,3,2
